"Folder","n_variables","s_size","p_sparse","VAFx","Dataset","n_components","Loss","VAF","Recovery_Rate","MSE_W","MSE_P","Bias_W","Bias_P","W_Corr","P_Corr","Iterations","MSE_W_P"
"../Scripts/DATA-R-W-Sparse",100,100,0.5,1,98,2,9.11952997622999e-06,0.999996961730056,1,4.00116323004504e-07,3.82053463089871e-07,-4.09423278112981e-06,9.9743718266137e-07,0.999979957073658,0.999980869902395,66.4,1.21625200653344e-07
"../Scripts/DATA-R-W-Sparse",100,100,0.8,0.8,86,2,0.21940437457746,0.795208570950213,0.964,0.0013921809242333,0.000863663534771916,-0.00034802353038859,-0.000309402498870743,0.941596153252507,0.961889499904283,50.8,0.000292258910553457
"../Scripts/DATA-R-W-Sparse",100,100,0.8,1,104,2,0.10565850491556,0.956155322553436,0.866,0.00546690381331824,0.00335608283883859,-0.00209744411893494,-0.000127858794479054,0.757017599298561,0.846358036434302,77,0.00123627654937993
"../Scripts/DATA-R-W-Sparse",100,500,0,0.8,77,2,0.19523520993112,0.804764862001867,0.995,0.000143680044384597,0.000143669402221789,-0.000360389590421835,-0.000359503359777369,0.992827742162611,0.992828284677232,20.8,1.43865974290846e-09
"../Scripts/DATA-R-W-Sparse",100,500,0,1,95,2,9.24361222857862e-08,0.999999968975474,0.995,3.13261923449143e-07,3.11066611465571e-07,-9.42625315701006e-06,-1.1437901889519e-05,0.99998433910065,0.999984447005126,102,1.22823193568075e-09
"../Scripts/DATA-R-W-Sparse",100,500,0.5,0.8,83,2,0.22215531496381,0.793545533054641,0.69,0.00473587377072643,0.0041681106724989,-0.00578507504855597,-0.00492386106578656,0.772069945440564,0.795562806873388,42,0.000314016960369032
"../Scripts/DATA-R-W-Sparse",100,500,0.5,1,101,2,0.0264536930314839,0.990626105975523,0.776,0.00332438686494845,0.00276584328403843,-0.00244020461910649,-0.00278700099439775,0.84376806197675,0.865747182617304,54.8,0.000341595980140135
"../Scripts/DATA-R-W-Sparse",100,500,0.8,0.8,89,2,0.245140092310956,0.780163739440897,0.936,0.0027154589313483,0.00169529563917351,-0.0066431039375261,-0.00326856866307055,0.8847005788156,0.925090658316427,39.4,0.000506076635037048
"../Scripts/DATA-R-W-Sparse",100,500,0.8,1,107,2,0.0592594768739048,0.972119921728417,0.934,0.00333794626461977,0.00233350250850717,-0.00841046883003899,-0.00447058030307374,0.85668842661189,0.89606037305626,69.6,0.000627587972046434
"../Scripts/DATA-R-W-Sparse",1000,100,0,0.8,75,2,0.195653717149494,0.804346282958452,0.9995,1.22259116842441e-05,1.222589462035e-05,-6.33207388540302e-05,-6.33211101291502e-05,0.993888261448793,0.993888270291606,11,2.1589291694794e-13
"../Scripts/DATA-R-W-Sparse",1000,100,0,1,93,2,7.00771017232932e-11,0.999999999976375,0.9995,4.00787773057761e-09,4.00776146830198e-09,-1.248289711593e-07,-1.29050898967315e-07,0.999997996073411,0.999997996122881,102,9.29036448299901e-14
"../Scripts/DATA-R-W-Sparse",1000,100,0.5,0.8,81,2,0.211802075203806,0.797889600667294,0.8244,0.000267727560900371,0.000234022387947736,-0.00081365795357906,-0.000344171126646426,0.870830924496577,0.885078559039012,59.2,1.93833517422005e-05
"../Scripts/DATA-R-W-Sparse",1000,100,0.5,1,99,2,0.0116339891517386,0.995960132001604,0.8766,0.000183795226734877,0.000159232326933731,0.000118881590688793,9.45887349689351e-05,0.911385706332552,0.921755700978376,78,1.51882423066849e-05
"../Scripts/DATA-R-W-Sparse",1000,100,0.8,0.8,87,2,0.22492240580988,0.790312036104992,0.9642,0.00014357182238598,8.7603443896332e-05,-0.000271532374044994,-0.000239210800440917,0.938040638426455,0.960621199552899,58,3.04688838297437e-05
"../Scripts/DATA-R-W-Sparse",1000,100,0.8,1,105,2,0.0444058850705478,0.98261200794046,0.931,0.000300809025379759,0.000217158509777673,-6.49438899646115e-05,-1.36908790059358e-05,0.866985408845321,0.89969306711426,56.2,5.40357860220151e-05
"../Scripts/DATA-R-W-Sparse",1000,500,0,0.8,78,2,0.198650899181153,0.801349100878953,0.9995,7.97560649685955e-06,7.97560176453136e-06,2.6367019255376e-05,2.63699677827155e-05,0.996012516850175,0.996012519218439,11,1.2021118248368e-13
"../Scripts/DATA-R-W-Sparse",1000,500,0,1,96,2,3.38069734457742e-11,0.99999999998871,0.9995,4.03079634529477e-09,4.03074546614892e-09,4.98159557428494e-07,4.94175694044558e-07,0.999997984607989,0.999997984628181,102,4.50332303280318e-14
"../Scripts/DATA-R-W-Sparse",1000,500,0.5,0.8,84,2,0.221303694279231,0.792115427341467,0.7686,0.000271835189968014,0.000219743971458131,-0.000706785640539571,-0.000270628226725748,0.868944560385436,0.892091925120567,93.2,2.68382432413968e-05
"../Scripts/DATA-R-W-Sparse",1000,500,0.5,1,102,2,0.00740798120559689,0.997405991098576,0.9196,0.000121285527373855,0.000106027051405593,-8.17678416685523e-05,-3.39155119454762e-05,0.941010405344027,0.947789804304362,93.8,9.62794460834556e-06
"../Scripts/DATA-R-W-Sparse",1000,500,0.8,0.8,90,2,0.252601378231385,0.775858246951681,0.921,0.000332515002857439,0.000229023850779501,0.000288057413974531,0.000160745185489266,0.852886131041098,0.895062852519918,56.4,5.69192503661316e-05
"../Scripts/DATA-R-W-Sparse",1000,500,0.8,1,108,2,0.0237632274419659,0.99065442983869,0.9668,0.000117823989724858,6.73936961183538e-05,-0.00154383157428009,-0.000627555136678394,0.948376875412286,0.96914237650497,65.6,2.88353145613127e-05
